date,region,product,combined_name,volume_mmcfd
3/20/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,266
3/20/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4008
3/20/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,216
3/20/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2043
3/20/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,2959
3/20/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1810
3/20/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,332
3/20/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4008
3/20/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,663
3/20/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,2959
3/20/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1676
3/20/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,387
3/20/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,573
3/20/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,573
3/20/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,267
3/20/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3660
3/20/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1810
3/20/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5769
3/20/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,1096
3/20/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-2043
3/20/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7506
3/20/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,2339
3/20/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-1096
3/20/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5465
3/20/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,599
3/20/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,322
3/19/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4104
3/19/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,197
3/19/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3077
3/19/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-2047
3/19/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,286
3/19/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1971
3/19/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4104
3/19/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,364
3/19/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,501
3/19/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3077
3/19/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,628
3/19/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,270
3/19/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1334
3/19/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,286
3/19/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3935
3/19/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,501
3/19/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1971
3/19/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5585
3/19/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,566
3/19/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7765
3/19/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-2047
3/19/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1961
3/19/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5167
3/19/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,745
3/19/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,442
3/19/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-566
3/18/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4203
3/18/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1978
3/18/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3125
3/18/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,309
3/18/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,210
3/18/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4203
3/18/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1934
3/18/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,351
3/18/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3125
3/18/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,573
3/18/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,408
3/18/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,238
3/18/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1172
3/18/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,3996
3/18/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,408
3/18/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1934
3/18/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,309
3/18/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5523
3/18/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,1236
3/18/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7578
3/18/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1978
3/18/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1745
3/18/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-1236
3/18/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5916
3/18/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,38
3/18/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,626
3/17/2024,Desert Southwest,Net Flows from Rocky Mountains,Desert Southwest: Net Flows from Rocky Mountains,3158
3/17/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4213
3/17/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,208
3/17/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,322
3/17/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1906
3/17/2024,California,Net Flows from Desert Southwest,California: Net Flows from Desert Southwest,4213
3/17/2024,California,Net Flows to Mexico,California: Net Flows to Mexico,366
3/17/2024,California,Net Flows from Pacific Northwest,California: Net Flows from Pacific Northwest,1977
3/17/2024,Rocky Mountains,Net Flows to Desert Southwest,Rocky Mountains: Net Flows to Desert Southwest,3158
3/17/2024,Rocky Mountains,Net Flows to Lower Midcon,Rocky Mountains: Net Flows to Lower Midcon,562
3/17/2024,Rocky Mountains,Net Flows to Pacific Northwest,Rocky Mountains: Net Flows to Pacific Northwest,417
3/17/2024,Rocky Mountains,Net Flows from Canada,Rocky Mountains: Net Flows from Canada,238
3/17/2024,Rocky Mountains,Net Flows to Plains,Rocky Mountains: Net Flows to Plains,1104
3/17/2024,Pacific Northwest,Net Flows to California,Pacific Northwest: Net Flows to California,1977
3/17/2024,Pacific Northwest,Net Flows from Desert Southwest,Pacific Northwest: Net Flows from Desert Southwest,322
3/17/2024,Pacific Northwest,Net Flows from Rocky Mountains,Pacific Northwest: Net Flows from Rocky Mountains,417
3/17/2024,Pacific Northwest,Net Flows from Canada,Pacific Northwest: Net Flows from Canada,4022
3/17/2024,Texas,Net Flows to Mexico,Texas: Net Flows to Mexico,5712
3/17/2024,Texas,Net Flows to Midcon,Texas: Net Flows to Midcon,1115
3/17/2024,Texas,Net Flows to Southeast,Texas: Net Flows to Southeast,7410
3/17/2024,Texas,Net Flows to Western,Texas: Net Flows to Western,-1906
3/17/2024,Mid-Continent,Net Flows from Rocky Mountains,Mid-Continent: Net Flows from Rocky Mountains,1666
3/17/2024,Mid-Continent,Net Flows to Southeast,Mid-Continent: Net Flows to Southeast,720
3/17/2024,Mid-Continent,Net Flows from Northeast,Mid-Continent: Net Flows from Northeast,5949
3/17/2024,Mid-Continent,Net Flows to Texas,Mid-Continent: Net Flows to Texas,-1115
3/17/2024,Mid-Continent,Net Flows from Canada,Mid-Continent: Net Flows from Canada,-121
3/16/2024,Desert Southwest,Net Flows to California,Desert Southwest: Net Flows to California,4206
3/16/2024,Desert Southwest,Net Flows to Mexico,Desert Southwest: Net Flows to Mexico,208
3/16/2024,Desert Southwest,Net Flows from Texas,Desert Southwest: Net Flows from Texas,-1880
3/16/2024,Desert Southwest,Net Flows to Pacific Northwest,Desert Southwest: Net Flows to Pacific Northwest,319
